Имя: Валентин Белов Борисович, Дата Рождения: 1996-05-30, Место рождения Ставрополь, Номер паспорта: 4203049
Имя: Дан Смирнов Эдуардович, Дата Рождения: 1986-12-24, Место рождения Шарыпово, Номер паспорта: 1204011
Имя: Цицерон Новиков Сергеевич, Дата Рождения: 1977-10-25, Место рождения Соликамск, Номер паспорта: 9508060
Имя: Шерлок Гришин Анатолиевич, Дата Рождения: 1985-12-21, Место рождения Шарыпово, Номер паспорта: 3404067
Имя: Шерлок Макаров Михайлович, Дата Рождения: 1980-06-14, Место рождения Ханты-Мансийск, Номер паспорта: 9105045
Имя: Леонид Уваров Львович, Дата Рождения: 1975-01-10, Место рождения Пятигорск, Номер паспорта: 4401058
Имя: Корнелий Горшков Алексеевич, Дата Рождения: 1991-07-20, Место рождения Тулун, Номер паспорта: 1401067
Имя: Спартак Романов Анатолиевич, Дата Рождения: 1995-06-06, Место рождения Отрадная, Номер паспорта: 9508060
Имя: Болеслав Соколов Максимович, Дата Рождения: 1989-08-31, Место рождения Мстиславль, Номер паспорта: 2105065
Имя: Родион Борисов Артёмович, Дата Рождения: 1991-07-20, Место рождения Покачи, Номер паспорта: 2010011
Имя: Цицерон Жуков Александрович, Дата Рождения: 1982-12-22, Место рождения Оренбург, Номер паспорта: 1506060
Имя: Харитон Зайцев Артёмович, Дата Рождения: 1990-11-10, Место рождения Санкт-Петербург, Номер паспорта: 8504047
Имя: Сергей Борисов Евгеньевич, Дата Рождения: 1978-05-26, Место рождения Первоуральск, Номер паспорта: 3607053
Имя: Тимур Карпенко-Карый Максимович, Дата Рождения: 1988-08-26, Место рождения Лысьва, Номер паспорта: 5606049
Имя: Ленар Абрамов Максимович, Дата Рождения: 1987-12-11, Место рождения Чита, Номер паспорта: 6402031
Имя: Никита Дроздов Данилович, Дата Рождения: 1995-03-03, Место рождения Хабаровск, Номер паспорта: 2105065
Имя: Филипп Карпенко-Карый Ярославович, Дата Рождения: 1997-09-17, Место рождения Усть-Илимск, Номер паспорта: 1401067
Имя: Игнат Яворивский Брониславович, Дата Рождения: 1981-01-08, Место рождения Салават, Номер паспорта: 2811056
Имя: Станислав Нестеров Артёмович, Дата Рождения: 1989-08-25, Место рождения Пятигорск, Номер паспорта: 6801038
Имя: Ленар Галкин Брониславович, Дата Рождения: 1978-05-18, Место рождения Браслав, Номер паспорта: 6801038
Имя: Глеб Денисов Владимирович, Дата Рождения: 1989-10-04, Место рождения Тобольск, Номер паспорта: 2010011
Имя: Герасим Субботин Анатолиевич, Дата Рождения: 1996-05-30, Место рождения Сухиничи, Номер паспорта: 6402031
Имя: Харитон Сысоев Михайлович, Дата Рождения: 1991-10-09, Место рождения Омутнинск, Номер паспорта: 0600056
Имя: Болеслав Зиновьев Леонидович, Дата Рождения: 1995-06-17, Место рождения Чусовой, Номер паспорта: 0600056
Имя: Прохор Сысоев Леонидович, Дата Рождения: 1976-09-11, Место рождения Орша, Номер паспорта: 0909067
Имя: Чеслав Попов Львович, Дата Рождения: 1977-02-02, Место рождения Мядель, Номер паспорта: 3307009
Имя: Шарль Третьяков Борисович, Дата Рождения: 1978-05-18, Место рождения Ликино-Дулёво, Номер паспорта: 5907067
Имя: Чеслав Игнатов Виталиевич, Дата Рождения: 1995-08-08, Место рождения Старый Оскол, Номер паспорта: 2010011
Имя: Чеслав Сысоев Артёмович, Дата Рождения: 1995-03-03, Место рождения Удачный, Номер паспорта: 7008041
Имя: Евстахий Легойда Васильевич, Дата Рождения: 1988-09-26, Место рождения Шарыпово, Номер паспорта: 5902028
Имя: Станислав Беляев Викторович, Дата Рождения: 1979-06-21, Место рождения Гродно, Номер паспорта: 4401058
Имя: Игнатий Андреев Михайлович, Дата Рождения: 1983-06-04, Место рождения Таганрог, Номер паспорта: 4305015
Имя: Лукьян Кошелев Юхимович, Дата Рождения: 1985-12-21, Место рождения Чернушка, Номер паспорта: 3307009
Имя: Тимофей Лаврентьев Платонович, Дата Рождения: 1997-12-30, Место рождения Байконур, Номер паспорта: 5907067
Имя: Харитон Котов Артёмович, Дата Рождения: 1981-01-30, Место рождения Минск, Номер паспорта: 6310002
Имя: Максим Белов Данилович, Дата Рождения: 1997-06-04, Место рождения Усинск, Номер паспорта: 2811056
Имя: Трофим Панфилов Валериевич, Дата Рождения: 1992-03-07, Место рождения Холмск, Номер паспорта: 0703035
Имя: Игнатий Кулибаба Вадимович, Дата Рождения: 1991-07-20, Место рождения Рубцовск, Номер паспорта: 3307009
Имя: Роман Пасичник Владимирович, Дата Рождения: 1978-05-18, Место рождения Жлобин, Номер паспорта: 4408066
Имя: Август Кузнецов Дмитриевич, Дата Рождения: 1981-01-30, Место рождения Слоним, Номер паспорта: 4702003
Имя: Корнелий Кузнецов Владимирович, Дата Рождения: 1978-05-18, Место рождения Лангепас, Номер паспорта: 8505054
Имя: Харитон Гришин Петрович, Дата Рождения: 1996-11-13, Место рождения Минусинск, Номер паспорта: 6402031
Имя: Цицерон Рымар Петрович, Дата Рождения: 1985-12-20, Место рождения Чистополь, Номер паспорта: 9105045
Имя: Роман Ерёменко Платонович, Дата Рождения: 1987-10-03, Место рождения Уни, Номер паспорта: 6402031
Имя: Святослав Тимошенко Борисович, Дата Рождения: 1977-10-25, Место рождения Тольятти, Номер паспорта: 4408066
Имя: Иосиф Трублаевский Анатолиевич, Дата Рождения: 1982-04-05, Место рождения Приозерск, Номер паспорта: 3307009
Имя: Филипп Пилипейко Михайлович, Дата Рождения: 1995-06-17, Место рождения Усть-Мая, Номер паспорта: 5606049
Имя: Матвей Тихонов Михайлович, Дата Рождения: 1989-12-08, Место рождения Тольятти, Номер паспорта: 2605030
Имя: Роман Меркушев Михайлович, Дата Рождения: 1982-04-24, Место рождения Рубцовск, Номер паспорта: 5902028
Имя: Святослав Трясило Брониславович, Дата Рождения: 1980-01-12, Место рождения Уфа, Номер паспорта: 0600056
Имя: Назар Гришин Ярославович, Дата Рождения: 1983-06-13, Место рождения Челябинск, Номер паспорта: 1401067
Имя: Филипп Ерёменко Александрович, Дата Рождения: 1988-12-30, Место рождения Степногорск, Номер паспорта: 4604015
Имя: Юлий Третьяков Романович, Дата Рождения: 1980-05-01, Место рождения Очёр, Номер паспорта: 6310002
Имя: Святослав Попов Михайлович, Дата Рождения: 1991-07-20, Место рождения Туапсе, Номер паспорта: 5900029
Имя: Герасим Котовский Викторович, Дата Рождения: 1975-10-17, Место рождения Нальчик, Номер паспорта: 3607053
Имя: Спартак Легойда Викторович, Дата Рождения: 1979-10-22, Место рождения Тихвин, Номер паспорта: 0703035
Имя: Филипп Савельев Владимирович, Дата Рождения: 1991-02-08, Место рождения Черногорск, Номер паспорта: 4203049
Имя: Харитон Рымар Леонидович, Дата Рождения: 1977-10-25, Место рождения Псков, Номер паспорта: 4309066
Имя: Назар Ерёменко Валериевич, Дата Рождения: 1997-12-30, Место рождения Копыль, Номер паспорта: 6801038
Имя: Родион Коровяк Максимович, Дата Рождения: 1993-05-05, Место рождения Малая Вишера, Номер паспорта: 6801038
Имя: Шарль Пасичник Ярославович, Дата Рождения: 1993-06-01, Место рождения Гомель, Номер паспорта: 5900029
Имя: Ждан Лаврентьев Сергеевич, Дата Рождения: 1986-07-29, Место рождения Ливны, Номер паспорта: 2605030
Имя: Гавриил Коровяк Валериевич, Дата Рождения: 1983-06-04, Место рождения Назарово, Номер паспорта: 0909067
Имя: Никита Лаврентьев Максимович, Дата Рождения: 1985-06-08, Место рождения Моршанск, Номер паспорта: 4604015
Имя: Филипп Нестеров Петрович, Дата Рождения: 1987-12-11, Место рождения Старый Оскол, Номер паспорта: 1401067
Имя: Матвей Королёв Евгеньевич, Дата Рождения: 1986-12-24, Место рождения Сургут, Номер паспорта: 3607053
Имя: Юлиан Горшков Романович, Дата Рождения: 1977-02-02, Место рождения Лиски, Номер паспорта: 9105045
Имя: Денис Нестеров Брониславович, Дата Рождения: 1998-08-31, Место рождения Семипалатинск, Номер паспорта: 0600056
Имя: Харитон Яковенко Сергеевич, Дата Рождения: 1988-12-30, Место рождения Туапсе, Номер паспорта: 4309066
Имя: Вадим Лихачёв Викторович, Дата Рождения: 1980-11-11, Место рождения Лянтор, Номер паспорта: 8505054
Имя: Ленар Лапин Юхимович, Дата Рождения: 1981-06-04, Место рождения Орехово-Зуево, Номер паспорта: 2605030
Имя: Ленар Легойда Алексеевич, Дата Рождения: 1982-04-05, Место рождения Томск, Номер паспорта: 2010011
Имя: Юлиан Максимов Виталиевич, Дата Рождения: 1981-01-30, Место рождения Петрозаводск, Номер паспорта: 5902028
Имя: Цефас Новиков Богданович, Дата Рождения: 1993-06-01, Место рождения Тюмень, Номер паспорта: 4702003
Имя: Матвей Беляков Борисович, Дата Рождения: 1989-08-31, Место рождения Брагин, Номер паспорта: 2402014
Имя: Юлий Савельев Александрович, Дата Рождения: 1980-03-01, Место рождения Малая Вишера, Номер паспорта: 2605030
Имя: Болеслав Горбачёв Михайлович, Дата Рождения: 1976-12-03, Место рождения Рубцовск, Номер паспорта: 4604015
Имя: Матвей Яковенко Романович, Дата Рождения: 1985-06-08, Место рождения Усть-Илимск, Номер паспорта: 4604015
Имя: Игнат Хижняк Борисович, Дата Рождения: 1986-12-24, Место рождения Углич, Номер паспорта: 4702003
Имя: Цицерон Тихонов Евгеньевич, Дата Рождения: 1983-06-13, Место рождения Луга, Номер паспорта: 4203049
Имя: Филипп Дроздов Александрович, Дата Рождения: 1993-06-01, Место рождения Копыль, Номер паспорта: 1506060
Имя: Корнелий Котовский Дмитриевич, Дата Рождения: 1988-12-30, Место рождения Семипалатинск, Номер паспорта: 6801038
Имя: Станислав Горбунов Вадимович, Дата Рождения: 1976-09-11, Место рождения Рязань, Номер паспорта: 4305015
Имя: Зуфар Колобов Платонович, Дата Рождения: 1981-06-04, Место рождения Орехово-Зуево, Номер паспорта: 3607053
Имя: Руслан Рымар Юхимович, Дата Рождения: 1980-01-12, Место рождения Островной, Номер паспорта: 5902028
Имя: Цефас Хижняк Романович, Дата Рождения: 1982-04-24, Место рождения Орёл, Номер паспорта: 9105045
Имя: Оскар Виноградов Вадимович, Дата Рождения: 1979-10-22, Место рождения Суворов, Номер паспорта: 6402031
Имя: Динар Блинов Анатолиевич, Дата Рождения: 1997-09-17, Место рождения Черкесск, Номер паспорта: 6402031
Имя: Игнат Борисов Брониславович, Дата Рождения: 1988-08-26, Место рождения Очёр, Номер паспорта: 2010011
Имя: Цицерон Саксаганский Александрович, Дата Рождения: 1993-06-01, Место рождения Зыряновск, Номер паспорта: 2605030
Имя: Феликс Кириленко Петрович, Дата Рождения: 1976-12-03, Место рождения Салехард, Номер паспорта: 9005020
Имя: Геннадий Галкин Эдуардович, Дата Рождения: 1980-03-01, Место рождения Орск, Номер паспорта: 8505054
Имя: Станислав Кулибаба Ярославович, Дата Рождения: 1983-06-13, Место рождения Максатиха, Номер паспорта: 2605030
Имя: Милан Макаров Львович, Дата Рождения: 1991-07-20, Место рождения Мядель, Номер паспорта: 0703035
Имя: Николай Таранец Артёмович, Дата Рождения: 1989-08-25, Место рождения Магнитогорск, Номер паспорта: 0600056
Имя: Пётр Савельев Максимович, Дата Рождения: 1997-09-17, Место рождения Салехард, Номер паспорта: 2811056
Имя: Геннадий Моисеенко Виталиевич, Дата Рождения: 1978-05-18, Место рождения Междуреченск, Номер паспорта: 5902028
Имя: Роман Легойда Андреевич, Дата Рождения: 1997-11-12, Место рождения Алма-Ата, Номер паспорта: 6310002
Имя: Жерар Денисов Владимирович, Дата Рождения: 1995-05-13, Место рождения Тверь, Номер паспорта: 4604015
Имя: Феликс Хижняк Юхимович, Дата Рождения: 1978-05-26, Место рождения Сальск, Номер паспорта: 5907067
